Title,css146c3p1,cssg5y9jx_divcontainsclass_cssg5y9jx,cssg5y9jx,cssg5y9jx1,cssg5y9jx2,cssg5y9jx3,css146c3p14
Best set,5,,5,Just wow!,Review for: Color Green • RAM 4 MB,Sikandar Kumar," · Aug, 2024"
Very nice product.,4,,4,Wonderful,Review for: Color Green • RAM 4 MB,SANDEEPKUMAR PATRA," · Jul, 2024"
"Design, battery 👍. quality 👎 bahut hi lite weight",4,,4,Pretty good,Review for: Color Green • RAM 4 MB,Rahamat Sk," · Sep, 2024"
Good looking 🤩,5,,5,Awesome,Review for: Color Black • RAM 4 MB,," · Mar, 2025"
Good,5,,5,Brilliant,Review for: Color Black • RAM 4 MB,Sachin Narsale," · Sep, 2024"
Good 💯💯😊😊,5,,5,Best in the market!,Review for: Color Light Blue • RAM 4 MB,," · May, 2025"
Nice photo 😍😍,5,,5,Worth every penny,Review for: Color Green • RAM 4 MB,," · Jan, 2025"
"Super Battery life, styles",5,,5,Fabulous!,Review for: Color Black • RAM 4 MB,Somanath  Sahoo ," · Oct, 2024"
Nice,5,,5,Excellent,Review for: Color Green • RAM 4 MB,, · 9 months ago
Very nice but zoom is not satisfactory.,5,,5,Highly recommended,Review for: Color Pantone SILHOUETTE • RAM 12 GB • Storage 256 GB,Naveen Verma, · 2 months ago
Heat issues,3,,3,Nice,Review for: Color Pantone BLUE SURF • RAM 12 GB • Storage 256 GB,vishnu chaitanya Boddu, · 2 months ago
premium design with a high-capacity battery. Camera quality is so good capture natural and clear image. Must go for it.,5,,5,Highly recommended,Review for: Color Pantone BLUE SURF • RAM 12 GB • Storage 256 GB,, · 2 months ago
By look phone looks good for this price.Has software glitches. Hanging and heat issues are there. I have restarted the phone around 10 times in 1 Month to over come hanging issue,3,,3,Just okay,Review for: Color Pantone COUNTRY AIR • RAM 12 GB • Storage 256 GB,Gowri Shankar, · 1 month ago
"Camera Quality Is Average,I Did't find any exceptional camera quality, Battery is good, display is good,",4,,4,Good choice,Review for: Color Pantone SILHOUETTE • RAM 12 GB • Storage 256 GB,, · 2 months ago
Awesome phone,5,,5,Fabulous!,Review for: Color Pantone SILHOUETTE • RAM 12 GB • Storage 256 GB,Ravi Ranjan, · 2 months ago
Super good looking I like moto thanks flipkart,5,,5,Terrific,Review for: Color Pantone BLUE SURF • RAM 12 GB • Storage 256 GB,Chaithra r, · 2 months ago
